[15:48:49] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:63314 -> 10.184.0.171:53
[15:48:49] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:56077 -> 10.184.0.171:53
[15:48:49] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:61278 -> 10.184.0.171:53
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53587 -> 140.82.113.21:443
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53588 -> 140.82.112.21:443
[15:48:50] UNKNOWN (NEEDS REVIEW) | TCP | 20.50.73.4:443 -> 10.184.0.59:53573
[15:48:50] UNKNOWN (NEEDS REVIEW) | TCP | 140.82.112.21:443 -> 10.184.0.59:53588
[15:48:50] UNKNOWN (NEEDS REVIEW) | TCP | 140.82.113.21:443 -> 10.184.0.59:53587
[15:48:50] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53563 -> 20.189.172.33:443
[15:48:50] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:60097 -> 10.184.0.171:53
[15:48:50] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:60097
[15:48:50] UNKNOWN (NEEDS REVIEW) | TCP | 20.50.73.4:443 -> 10.184.0.59:53573
[15:48:50] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53591 -> 20.189.172.33:443
[15:48:50] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53592 -> 20.189.172.33:443
[15:48:50] UNKNOWN (NEEDS REVIEW) | TCP | 20.50.73.4:443 -> 10.184.0.59:53573
[15:48:50] UNKNOWN (NEEDS REVIEW) | TCP | 20.50.73.4:443 -> 10.184.0.59:53573
[15:48:50] UNKNOWN (NEEDS REVIEW) | TCP | 20.50.73.4:443 -> 10.184.0.59:53573
[15:48:50] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:50] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:50] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:50] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
